15-concepts,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
Basket-ecommerce,0.583444001770695,0.583444001770695,0.583444001770695,0.583444001770695,0.583444001770695,0.559539619300575,0.104913678618858,0.0402833111996459,0.101814962372731,0.538733953076583,0.583444001770695,0.604692341744135
Basket-grocery,0.544117647058823,0.370098039215686,0.370098039215686,0.428921568627451,0.401960784313726,0.311274509803922,0.166666666666667,0.382352941176471,0.149509803921569,0.419117647058824,0.526960784313726,0.700980392156863
Basket-Instacart,0.438315789473684,0.373684210526316,0.373684210526316,0.339578947368421,0.351789473684211,0.280631578947368,0.201473684210526,0.209263157894737,0.00947368421052632,0.351789473684211,0.458526315789474,0.498526315789474
House-votes,0.902748962655602,0.823651452282158,0.79097510373444,0.72795643153527,0.629408713692946,0.469657676348548,0.467582987551867,0.468879668049793,0.469657676348548,0.629408713692946,0.914678423236514,0.978215767634855
IAPB-students,0.847726579188282,0.518309429356118,0.706438815990235,0.701403722917302,0.32834909978639,0.518309429356118,0.52471772963076,0.581019224900824,0.544552944766555,0.32834909978639,0.62679279829112,0.940341776014648
STT,0.747339911007932,0.167730702263494,0.202940607467595,0.620429483459083,0.579028825691623,0.448636099825885,0.513639001741149,0.109498935964403,0.50860901528342,0.443412652350551,0.767653317856452,0.801895917972529
Student-gradings,0.852394489394271,0.727749835993877,0.760551060572928,0.493549092499453,0.494423791821561,0.400174939864422,0.448283402580363,0.424447846052919,0.430789416138202,0.494423791821561,0.872949923463809,0.939645746774546
Zoo,0.98030303030303,1,0.974242424242424,0.76969696969697,0.759090909090909,0.590909090909091,0.590909090909091,0.553030303030303,0.606060606060606,0.693939393939394,0.995454545454545,1
Telecom,0.775102297765187,0.385898646521876,0.514479068303431,0.0426502990242367,0.0453257790368272,0.471356625747561,0.420522505508341,0.411394397230091,0.475291155177841,0.0347812401636764,0.800755429650614,0.46868114573497
TTTH,0.772934617334009,0.239229599594526,0.239229599594526,0.58590978205778,0.49569183983781,0.467815509376584,0.497212366953877,0.170805879371515,0.577800304105423,0.357323872275722,0.806893056259503,0.860111505321845
