Range,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
0.0-0.1,0.758559839718331,0.70797170776692,0.708410872081398,0.698956936356996,0.743773964025783,0.701137737529269,0.599471805850244,0.497262831134285,0.586436456336891,0.728944854229602,0.758013037538824,0.855362337117773
0.1-0.2,0.691719929994231,0.599175142661793,0.602683973024218,0.674907193035393,0.688176327122559,0.608671642809663,0.536005381136339,0.451604669785726,0.553494760507883,0.677537333073918,0.693853804789491,0.825294959287962
0.2-0.3,0.660303518237361,0.576291400453332,0.577471407850225,0.649060451895406,0.656687373520509,0.547095793292733,0.464339928688425,0.454391176068625,0.538188173650364,0.653088260721174,0.660468600268375,0.823258418416087
0.3-0.4,0.614156577373278,0.538155138442421,0.539635448511013,0.596412050358102,0.608160202432587,0.428947096546201,0.427258093948533,0.420012335639711,0.479171651580394,0.606721790299713,0.620344683973188,0.827700397280455
0.4-0.5,0.666786333850232,0.597737688902211,0.609410292631578,0.617888464850953,0.642671716077276,0.430635831328385,0.454098014104748,0.411778008133839,0.475424545306499,0.639534869412301,0.677693516564886,0.873863735726595
0.5-0.6,0.694402323355179,0.55898201786188,0.64527074001667,0.566192191663373,0.599263543503649,0.397721800015419,0.413597226613832,0.377376696268108,0.412486486051493,0.598425762323812,0.694759741073241,0.897664656545589
0.6-0.7,0.80586477484579,0.624433385151191,0.768418560417063,0.552472227859074,0.639780392725889,0.450186408987698,0.466571061261892,0.422857527280615,0.456445714504431,0.635536218732873,0.804917786417455,0.945062283708934
0.7-0.8,0.895185231584598,0.651855609826653,0.87506203866008,0.503874490104486,0.607867720365388,0.47755131648223,0.498750194912643,0.457023301662052,0.478725727773284,0.605114240953314,0.886991879998473,0.966832560875967
0.8-0.9,0.987285950470942,0.791516123437156,0.983906604847317,0.633500353384605,0.575743762886336,0.596038314016391,0.610260536374076,0.591188423880061,0.598524158309183,0.571269965139489,0.98484026786956,0.996663708246177
