Range,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
0.0-0.1,0.93334136283534,0.872662044255013,0.870398166558503,0.827352999116198,0.89269543672695,0.82566309035852,0.806285291025602,0.647324647405977,0.797572642877935,0.898904533439566,0.94227267621039,0.987080973786539
0.1-0.2,0.894227724525167,0.831772283442265,0.808620807072678,0.864328003361676,0.882809824329809,0.725736425267314,0.610374462729068,0.609257437606437,0.731368859997674,0.875129740006531,0.901011460377787,0.974150644199511
0.2-0.3,0.864634810632798,0.815344756298503,0.751724454296878,0.844751355064208,0.86324606710367,0.614467032524839,0.541533430462078,0.563353498727546,0.686761298254127,0.863176347943847,0.868190645083175,0.972308468970262
0.3-0.4,0.827365637411576,0.807727553130551,0.741603262887576,0.826223054651458,0.845851958409235,0.494072237447023,0.512250138663788,0.493041892389312,0.581000937832062,0.84461690598094,0.839833174705087,0.976266003461557
0.4-0.5,0.820935932825841,0.821158838087124,0.764879148500674,0.805451716341265,0.838907313435735,0.470618361643828,0.495132944748742,0.444835517566282,0.52507036353646,0.836248430100965,0.824985766147089,0.981400652675711
0.5-0.6,0.884468600461316,0.886540937496718,0.84776394753745,0.757122480091738,0.825989808266924,0.469553482333924,0.484449692931312,0.444097725289323,0.488122444437485,0.824972001496471,0.880067443120314,0.992844047664093
0.6-0.7,0.944316574834703,0.921536290688354,0.925571099082077,0.70090830163358,0.825237164047921,0.485424778335178,0.501388246965143,0.445464235728186,0.497818330177703,0.832340043975113,0.941252020080648,0.997866834752129
0.7-0.8,0.98545253184856,0.910660185148279,0.977055984858971,0.563841839944933,0.728368033811012,0.464383713201706,0.473635087317559,0.450298766470012,0.457035426329774,0.718618517499373,0.979920971502777,0.998669570151798
