20-concepts,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
Basket-ecommerce,0.682602921646746,0.682602921646746,0.682602921646746,0.677733510402833,0.682602921646746,0.628154050464807,0.154050464807437,0.0597609561752988,0.148738379814077,0.661797255422753,0.682602921646746,0.706064630367419
Basket-grocery,0.622549019607843,0.406862745098039,0.406862745098039,0.487745098039216,0.441176470588235,0.370098039215686,0.21078431372549,0.433823529411765,0.213235294117647,0.448529411764706,0.610294117647059,0.774509803921569
Basket-Instacart,0.504210526315789,0.401052631578947,0.401052631578947,0.414947368421053,0.391157894736842,0.306736842105263,0.225684210526316,0.254315789473684,0.0149473684210526,0.407157894736842,0.523578947368421,0.568
House-votes,0.954616182572614,1,0.884854771784232,0.773340248962656,0.683091286307054,0.474585062240664,0.476659751037344,0.478734439834025,0.50051867219917,0.683091286307054,0.985217842323652,0.999221991701245
IAPB-students,0.885871223680195,0.61901129081477,0.828043942630455,0.742447360390601,0.32834909978639,0.518614586512054,0.527616722612145,0.582087274946598,0.566066524259994,0.32834909978639,0.772963075984132,0.988556606652426
STT,0.79763977558522,0.20468175662604,0.24376088218224,0.645579415747727,0.579028825691623,0.466627974463146,0.532985103501644,0.133681563165022,0.554652737473399,0.503772489843297,0.812342812923196,0.83865351131747
Student-gradings,0.923245134485021,0.945549967198775,0.872293898972228,0.546905751148043,0.554122020555434,0.42729061884977,0.468838836649902,0.440411108681391,0.448939427071944,0.554122020555434,0.953859610758802,0.986223485676799
Zoo,1,1,0.995454545454545,0.807575757575758,0.821212121212121,0.689393939393939,0.615151515151515,0.701515151515152,0.675757575757576,0.821212121212121,1,1
Telecom,0.836953100409191,0.553352219074599,0.679729304375197,0.0549260308467107,0.0594900849858357,0.485835694050992,0.443028013849544,0.47906830343091,0.480799496380233,0.0432798237330815,0.864966949952786,0.506610009442871
TTTH,0.832742017232641,0.264064875823619,0.264064875823619,0.596553471870248,0.538773441459706,0.478459199189052,0.499239736441967,0.189052204764318,0.644703497212367,0.389254941713127,0.862645717181956,0.885960466294982
